iter	Passed	Remaining
447	1111	1369
448	1112	1365
449	1114	1362
450	1116	1359
451	1118	1355
452	1121	1354
453	1125	1353
454	1128	1352
455	1132	1351
456	1136	1350
457	1140	1349
458	1143	1347
459	1145	1344
460	1148	1342
461	1150	1339
462	1152	1336
463	1154	1333
464	1155	1329
465	1157	1326
466	1159	1323
467	1161	1320
468	1163	1317
469	1165	1313
470	1167	1310
471	1168	1307
472	1170	1304
473	1172	1301
474	1174	1297
475	1176	1294
476	1177	1291
477	1179	1288
478	1181	1284
479	1183	1281
480	1184	1278
481	1186	1275
482	1188	1272
483	1190	1268
484	1191	1265
485	1193	1262
486	1195	1259
487	1197	1256
488	1199	1253
489	1201	1250
490	1203	1247
491	1205	1244
492	1207	1241
493	1208	1238
494	1210	1235
495	1212	1231
496	1215	1230
497	1219	1229
498	1222	1227
499	1225	1225
500	1228	1223
501	1230	1220
502	1233	1218
503	1235	1215
504	1237	1213
505	1239	1210
506	1241	1206
507	1242	1203
508	1244	1200
509	1246	1197
510	1248	1194
511	1250	1191
512	1252	1188
513	1253	1185
514	1255	1182
515	1257	1179
516	1259	1176
517	1260	1173
518	1262	1170
519	1264	1167
520	1266	1164
521	1268	1161
522	1269	1158
523	1272	1155
524	1274	1153
525	1276	1150
526	1279	1147
527	1281	1145
528	1283	1142
529	1284	1139
530	1286	1136
531	1288	1133
532	1290	1130
533	1291	1127
534	1293	1124
535	1295	1121
536	1297	1118
537	1298	1115
538	1300	1112
539	1302	1109
540	1304	1107
541	1306	1104
542	1308	1101
543	1310	1098
544	1312	1095
545	1314	1092
546	1315	1089
547	1317	1086
548	1319	1083
549	1321	1081
550	1323	1078
551	1325	1075
552	1327	1072
553	1329	1070
554	1330	1067
555	1332	1064
556	1334	1061
557	1336	1058
558	1339	1056
559	1341	1054
560	1343	1051
561	1345	1048
562	1347	1046
563	1349	1042
564	1351	1040
565	1352	1037
566	1354	1034
567	1356	1031
568	1358	1028
569	1360	1026
570	1361	1023
571	1363	1020
572	1365	1017
573	1368	1015
574	1371	1013
575	1373	1011
576	1375	1008
577	1377	1006
578	1379	1003
579	1381	1000
580	1383	997
581	1385	995
582	1387	992
583	1389	989
584	1390	986
585	1392	983
586	1394	981
587	1396	978
588	1398	975
589	1400	973
590	1402	970
591	1404	967
592	1405	964
593	1407	962
594	1409	959
595	1411	956
596	1412	953
597	1414	951
598	1416	948
599	1418	945
600	1420	942
601	1421	940
602	1423	937
603	1425	934
604	1427	931
605	1429	929
606	1430	926
607	1432	923
608	1434	921
609	1436	918
610	1438	915
611	1439	912
612	1441	910
613	1445	908
614	1448	906
615	1451	904
616	1453	902
617	1456	900
618	1458	897
619	1461	895
620	1463	892
621	1465	890
622	1466	887
623	1468	884
624	1470	882
625	1472	879
626	1473	876
627	1475	874
628	1477	871
629	1479	869
630	1481	866
631	1483	863
632	1485	861
633	1487	858
634	1489	855
635	1491	853
636	1493	851
637	1497	849
638	1500	847
639	1503	845
640	1505	843
641	1508	841
642	1511	839
643	1513	836
644	1515	834
645	1517	831
