iter	RMSE
195	5.102668369
196	5.094883741
197	5.08924536
198	5.088813465
199	5.083666897
200	5.081755523
201	5.080325807
202	5.074403839
203	5.073374153
204	5.072858435
205	5.065082193
206	5.060516561
207	5.05070483
208	5.045378691
209	5.043339807
210	5.042855008
211	5.037292722
212	5.031897004
213	5.028899729
214	5.018568683
215	5.008931827
216	5.003914529
217	4.998990969
218	4.995124252
219	4.990090676
220	4.984763575
221	4.979933897
222	4.972071287
223	4.970651276
224	4.966132924
225	4.964946141
226	4.955861993
227	4.95458206
228	4.951512312
229	4.945891049
230	4.94472214
231	4.938503997
232	4.937186228
233	4.929525948
234	4.922682806
235	4.915832531
236	4.909278406
237	4.902759606
238	4.896411965
239	4.895787753
240	4.890253233
241	4.884779689
242	4.883820348
243	4.877898557
244	4.873353196
245	4.872047077
246	4.863423944
247	4.85517441
248	4.847836994
249	4.846395006
250	4.839550162
251	4.838734826
252	4.837378494
253	4.828837601
254	4.823495553
255	4.815460836
256	4.809457027
257	4.809036186
258	4.804978692
259	4.796631631
260	4.787148936
261	4.780195613
262	4.774876069
263	4.771081705
264	4.764461175
265	4.757808667
266	4.751593638
267	4.74085531
268	4.735887058
269	4.734989491
270	4.731289538
271	4.721060724
272	4.713985029
273	4.712120204
274	4.704207852
275	4.692878035
276	4.685882009
277	4.679812134
278	4.670392045
279	4.668875341
280	4.662644296
281	4.657985971
282	4.649330173
283	4.643561941
284	4.638638544
285	4.638001698
286	4.637034457
287	4.628819067
288	4.620943895
289	4.619477998
290	4.618692696
291	4.61267211
292	4.611348162
293	4.61061164
294	4.607317919
295	4.602256434
296	4.595870849
297	4.595178932
298	4.58644571
299	4.580133923
300	4.571147382
301	4.567278089
302	4.561871785
303	4.555883497
304	4.548934715
305	4.543557471
306	4.537054461
307	4.533599001
308	4.527936755
309	4.527387608
310	4.526657826
311	4.524294245
312	4.515599116
313	4.511040218
314	4.502767534
315	4.501180613
316	4.496234611
317	4.486547998
318	4.482491929
319	4.475824787
320	4.468710291
321	4.459403629
322	4.455625129
323	4.450832519
324	4.449236703
325	4.448726668
326	4.442837519
327	4.441261016
328	4.434328681
329	4.431847243
330	4.428340131
331	4.419646409
332	4.415083584
333	4.408313768
334	4.407663208
335	4.401603124
336	4.39669435
337	4.390108368
338	4.384624513
339	4.379504796
340	4.376826446
341	4.371160288
342	4.364531543
343	4.357247567
344	4.355296791
345	4.354008574
346	4.346808768
347	4.341836341
348	4.340130554
349	4.334628614
350	4.329193948
351	4.328584934
352	4.320350461
353	4.319806644
354	4.315257717
355	4.309432829
356	4.302913379
357	4.295556942
358	4.288360394
359	4.284841506
360	4.275508837
361	4.271696624
362	4.267032158
363	4.262973706
364	4.25987522
365	4.249937508
366	4.243723499
367	4.235410001
368	4.232644163
369	4.229666625
370	4.222269848
371	4.212229412
372	4.207234911
373	4.19893003
374	4.191863471
375	4.186225892
376	4.181209344
377	4.172814357
378	4.164206214
379	4.157442163
380	4.150663728
381	4.147938794
382	4.143125918
383	4.142038212
384	4.136718812
385	4.132196159
386	4.122974533
387	4.120019457
388	4.119145259
389	4.115876683
390	4.115076888
391	4.113409887
392	4.112642813
393	4.110811936
394	4.110202944
395	4.104572079
396	4.098850837
397	4.095047737
398	4.091784699
399	4.090330214
400	4.083525357
401	4.077739403
402	4.07069764
403	4.061775207
404	4.057250378
405	4.053546194
406	4.051649031
407	4.043624186
408	4.040763019
409	4.038026706
410	4.034213709
411	4.033577613
412	4.030683995
413	4.019383079
414	4.0118903
415	4.007593286
416	4.004436586
417	3.999320725
418	3.995119558
419	3.988345478
420	3.982700507
421	3.979549603
422	3.978276325
423	3.970069552
424	3.966188336
425	3.963806886
426	3.95818871
427	3.953149945
428	3.951449139
429	3.946784367
430	3.942415956
431	3.935556111
432	3.935172707
433	3.931258978
434	3.928108891
435	3.919962271
436	3.919515643
437	3.912385786
438	3.910658034
439	3.907956929
440	3.904992692
441	3.900495635
442	3.894331956
443	3.887202702
444	3.880693354
445	3.873342203
446	3.862758144
447	3.862184976
448	3.857606291
449	3.853603367
450	3.846113259
451	3.842704614
452	3.836855907
453	3.833253644
454	3.828276518
455	3.823813244
456	3.817157948
457	3.813258167
458	3.809946073
459	3.806567725
460	3.805529424
461	3.800043354
462	3.792389734
463	3.789891509
464	3.783963308
465	3.781476861
466	3.775852886
467	3.774888712
468	3.768657284
469	3.765014938
470	3.760442388
471	3.756692287
472	3.748809671
473	3.745108312
474	3.740553314
475	3.736464359
476	3.732917796
477	3.728348326
478	3.7228296
479	3.722313021
480	3.720768214
481	3.717143387
482	3.709443478
483	3.706563784
484	3.70148488
485	3.696938225
486	3.69628169
487	3.690143463
488	3.684196939
489	3.676909783
490	3.676301349
491	3.668124526
492	3.664361337
493	3.658926961
494	3.656025876
495	3.653892449
496	3.647285678
497	3.644012784
498	3.639645521
499	3.634050099
500	3.628564149
501	3.622935916
502	3.615803255
503	3.61052356
504	3.603765028
505	3.601993927
506	3.601492306
507	3.597275003
508	3.591876556
509	3.588636198
510	3.586484382
511	3.581635192
512	3.577987201
513	3.571635969
514	3.569740297
515	3.561761149
516	3.557282979
517	3.551161956
518	3.546357054
519	3.542705685
520	3.538835431
521	3.534903594
522	3.533324084
523	3.527594561
524	3.5271837
525	3.521116434
526	3.51712327
527	3.508323258
528	3.507844327
529	3.506807529
530	3.501133718
531	3.495494887
532	3.491087004
533	3.490374641
534	3.485381572
535	3.480846284
536	3.478569
537	3.473445148
538	3.469151363
539	3.468784832
540	3.461660285
541	3.457546658
542	3.453467665
543	3.450012515
544	3.447670461
545	3.441359959
546	3.440638708
547	3.435254553
548	3.430806194
549	3.421913371
550	3.421342359
551	3.418941555
552	3.418412388
553	3.41302524
554	3.410286519
555	3.405904701
556	3.405693317
557	3.402686832
558	3.396226308
559	3.393906771
560	3.391228269
561	3.388747319
562	3.384749226
563	3.383741631
564	3.378268796
565	3.370656525
566	3.366234453
567	3.364784865
568	3.360658244
569	3.354100392
570	3.349058367
571	3.347854897
572	3.346927023
573	3.341540162
574	3.338779802
575	3.33849736
576	3.335948701
577	3.33017181
578	3.329768494
579	3.326704358
580	3.325823919
581	3.320667235
582	3.316882054
583	3.314423211
584	3.310183188
585	3.303618889
586	3.296513185
587	3.290767597
588	3.287139447
589	3.281270116
590	3.279206298
591	3.273904842
592	3.271474221
593	3.266688004
594	3.262962604
595	3.262696161
596	3.262159223
597	3.255755306
598	3.253099949
599	3.248854375
600	3.247474878
601	3.244846989
602	3.2405837
603	3.240188586
604	3.236112231
605	3.233105878
606	3.232574299
607	3.227005983
608	3.226370219
609	3.222862219
610	3.216397669
611	3.213910115
612	3.211628609
613	3.20764155
614	3.203982839
615	3.201518737
616	3.194271173
617	3.19393603
618	3.191310754
619	3.185051121
620	3.179567757
621	3.175565793
622	3.175161245
623	3.171995199
624	3.16744583
625	3.16149544
626	3.159550513
627	3.154248979
628	3.152229793
629	3.149409334
630	3.145162343
631	3.142480424
632	3.135926805
633	3.134620695
634	3.129526363
635	3.125031791
636	3.122522307
637	3.117964012
638	3.115024293
639	3.110818099
640	3.108302621
641	3.105617885
642	3.100382966
643	3.100232896
644	3.09422929
645	3.08820299
646	3.085214207
647	3.082508929
648	3.078321885
649	3.074353318
650	3.071677538
651	3.0712652
652	3.068906645
653	3.063359038
654	3.059317081
655	3.057102477
656	3.05190819
657	3.051778121
658	3.048707273
659	3.044698833
660	3.040132116
661	3.039729376
662	3.037743199
663	3.034564426
664	3.031972584
665	3.028361751
666	3.025464776
667	3.021349116
668	3.015908673
669	3.012244903
670	3.008020515
671	3.004757203
672	3.004341403
673	3.003810079
674	3.000220045
675	2.995744096
676	2.989266905
677	2.985765389
678	2.981723744
679	2.978065357
680	2.974612348
681	2.973174927
682	2.968861177
683	2.965265521
684	2.962705749
685	2.95591705
686	2.948877701
687	2.947456254
688	2.940045949
689	2.938838344
690	2.935626446
691	2.931382884
692	2.928190955
693	2.923804751
694	2.920405437
695	2.916833834
696	2.91363989
697	2.909079958
698	2.905577412
699	2.9044895
700	2.902055208
701	2.897650384
702	2.894408569
703	2.890772227
704	2.888074406
705	2.883936154
706	2.881124152
707	2.876385667
708	2.875888117
709	2.870042723
710	2.868186808
711	2.864538321
712	2.859289891
713	2.855796914
714	2.854205038
715	2.854009954
716	2.851831777
717	2.84766226
718	2.843882103
719	2.838716399
720	2.832642913
721	2.83222595
722	2.830340752
723	2.82617303
724	2.821536851
725	2.814732992
726	2.812477691
727	2.808831408
728	2.806233495
729	2.80490461
730	2.802218212
731	2.797868828
732	2.792472311
733	2.787923191
734	2.783643594
735	2.778927388
736	2.776735601
737	2.774709836
738	2.771455092
739	2.768043866
740	2.764072605
741	2.761312681
742	2.760993338
743	2.75465139
744	2.752873387
745	2.748906044
746	2.743192396
747	2.742000472
748	2.738308697
749	2.733690289
750	2.729797679
751	2.725089215
752	2.724550965
753	2.722203613
754	2.721156182
755	2.719273346
756	2.716964498
757	2.715039842
758	2.710165586
759	2.706251111
760	2.702818252
761	2.699327659
762	2.695902165
763	2.691810419
764	2.687897069
765	2.686903581
766	2.68093975
767	2.678945042
768	2.67838876
769	2.676791566
770	2.674424938
771	2.670747501
772	2.668168924
773	2.665369217
774	2.662207652
775	2.661330499
776	2.657338322
777	2.655448857
778	2.650664037
779	2.648018071
780	2.645400126
781	2.642044606
782	2.638874872
783	2.636005437
784	2.635613457
785	2.631040653
786	2.630617009
787	2.6300873
788	2.627300907
789	2.624494291
790	2.619262969
791	2.616179822
792	2.613381252
793	2.613040967
794	2.607277903
795	2.603823271
796	2.599726105
797	2.595118483
798	2.593630124
799	2.592863614
800	2.588323533
801	2.587349142
802	2.586263483
803	2.581884122
804	2.577594497
805	2.573331462
806	2.572540559
807	2.570275781
808	2.564716921
809	2.559905521
810	2.557838934
811	2.55561182
812	2.552815393
813	2.551139873
814	2.546649554
815	2.542197849
816	2.539401028
817	2.533165298
818	2.53045215
819	2.530007146
820	2.526897271
821	2.526567857
822	2.524383244
823	2.520395216
824	2.515776106
825	2.515139325
826	2.510972571
827	2.507607667
828	2.506188695
829	2.505712813
830	2.504092728
831	2.500304972
832	2.497115951
833	2.492582861
834	2.489714186
835	2.488095907
836	2.487783575
837	2.482526507
838	2.480019492
839	2.477820292
840	2.474317283
841	2.472196193
842	2.471793069
843	2.469028343
844	2.465412411
845	2.463086904
846	2.459492009
847	2.457614351
848	2.454611968
849	2.451419205
850	2.449223004
851	2.446368261
852	2.443472251
853	2.442198389
854	2.438456442
855	2.435540942
856	2.43337
857	2.433127507
858	2.428683969
859	2.425197373
860	2.421660317
861	2.419345735
862	2.416627494
863	2.414977492
864	2.412407405
865	2.410360544
866	2.409343021
867	2.408409717
868	2.40621264
869	2.401788067
870	2.400602989
871	2.398952457
872	2.396841006
873	2.392363623
874	2.389466368
875	2.387073783
876	2.383605895
877	2.379522222
878	2.373451961
879	2.370188006
880	2.368695574
881	2.367538145
882	2.366704824
883	2.364439303
884	2.362777447
885	2.362557958
886	2.360521147
887	2.356606689
888	2.35543282
889	2.35125479
890	2.349241595
891	2.346282201
892	2.342961099
893	2.33910625
894	2.33434517
895	2.332254727
896	2.327817892
897	2.325160253
898	2.322326208
899	2.318042471
900	2.313818926
901	2.310634641
902	2.308411408
903	2.306439467
904	2.305945226
905	2.303464025
906	2.302557768
907	2.300561088
908	2.298588105
909	2.294200162
910	2.292647598
911	2.292148212
912	2.288107481
913	2.286613501
914	2.284658534
915	2.281749251
916	2.279472308
917	2.278211959
918	2.276594932
919	2.274073615
920	2.271083437
921	2.267288586
922	2.265240728
923	2.261748171
924	2.257477062
925	2.254395746
926	2.251072789
927	2.250060025
928	2.246204559
929	2.24455497
930	2.240463595
931	2.239194848
932	2.237127542
933	2.234076197
934	2.229202073
935	2.22680596
936	2.225280333
937	2.223723771
938	2.2201139
939	2.217755926
940	2.215285822
941	2.212258334
942	2.209534881
943	2.205028333
944	2.202826667
945	2.201831274
946	2.198055832
947	2.195190729
948	2.192141457
949	2.190246664
950	2.186556293
951	2.183228056
952	2.18297849
953	2.179315715
954	2.178220454
955	2.177426255
956	2.174635285
957	2.17305787
958	2.169766972
959	2.165601917
960	2.163614169
961	2.161052929
962	2.157902462
963	2.15690223
964	2.156599638
965	2.153493013
966	2.15040598
967	2.147526242
968	2.143723069
969	2.139902737
970	2.137264357
971	2.133641659
972	2.130788855
973	2.12821193
974	2.126528861
975	2.124311922
976	2.123619613
977	2.120647214
978	2.11844418
979	2.115220067
980	2.11156034
981	2.111027249
982	2.108478065
983	2.107033529
984	2.102928829
985	2.101212067
986	2.097447466
987	2.094034812
988	2.093383239
989	2.090699402
990	2.090530409
991	2.088729489
992	2.087819447
993	2.084985439
994	2.082526025
995	2.080179902
996	2.078521083
997	2.076495619
998	2.073107556
999	2.071488721
