gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020023,False,VGK,22,28,3,4,24,19,True,STL,,,,,,,,
2024020023,True,STL,28,22,4,3,19,24,False,VGK,,,,,,,,
2024020024,False,BOS,34,26,1,2,24,33,False,LAK,,,,,,,,
2024020024,True,LAK,26,34,2,1,33,24,False,BOS,,,,,,,,
2024020025,True,FLA,27,25,5,2,23,22,False,BUF,,,24.333333333333332,26.333333333333332,,,,
2024020025,False,BUF,25,27,2,5,22,23,False,FLA,,,,,,,,
2024020026,False,TOR,23,33,2,4,29,21,False,PIT,,,,,,,,
2024020026,True,PIT,33,23,4,2,21,29,False,TOR,,,,,,,,
2024020027,False,MTL,25,26,1,4,22,24,False,OTT,,,,,,,,
2024020027,True,OTT,26,25,4,1,24,22,False,MTL,,,,,,,,
2024020028,True,NSH,22,42,3,0,42,19,False,DET,,,,,,,,
2024020028,False,DET,42,22,0,3,19,42,False,NSH,,,,,,,,
2024020029,False,TBL,31,33,2,3,30,29,False,CAR,,,,,,,,
2024020029,True,CAR,33,31,3,2,29,30,False,TBL,,,,,,,,
2024020030,True,UTA,34,26,5,6,20,29,False,NYR,,,,,,,,
2024020030,False,NYR,26,34,6,5,29,20,False,UTA,,,,,,,,
2024020031,True,NJD,32,33,3,5,28,29,False,WSH,27.2,23.4,28.666666666666668,25.0,24.0,24.6,23.266666666666666,25.133333333333333
2024020031,False,WSH,33,32,5,3,29,28,False,NJD,,,21.666666666666668,24.666666666666668,,,,
2024020032,True,NYI,27,34,3,0,34,24,False,DAL,,,,,,,,
2024020032,False,DAL,34,27,0,3,24,34,False,NYI,,,,,,,,
2024020033,False,MIN,34,38,5,4,34,30,False,SEA,,,,,,,,
2024020033,True,SEA,38,34,4,5,30,34,False,MIN,,,,,,,,
2024020034,False,COL,23,30,6,4,26,17,False,CBJ,,,,,,,,
2024020034,True,CBJ,30,23,4,6,17,26,False,COL,,,,,,,,
2024020035,False,CGY,40,32,3,6,26,37,True,PHI,,,,,,,,
2024020035,True,PHI,32,40,6,3,37,26,False,CGY,,,,,,,,
2024020036,False,EDM,20,38,5,2,36,15,True,CHI,,,,,,,,
2024020036,True,CHI,38,20,2,5,15,36,False,EDM,,,,,,,,
