gameID,gameDate,isHome,opponent,team,teamSaves_last,opponentSaves_last,teamSaves_rolling_5,opponentSaves_rolling_5,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15,opponentTeamSaves_last,opponentOpponentSaves_last,opponentTeamSaves_rolling_5,opponentOpponentSaves_rolling_5,opponentTeamSaves_rolling_3,opponentOpponentSaves_rolling_3,opponentTeamSaves_rolling_10,opponentOpponentSaves_rolling_10,opponentTeamSaves_rolling_15,opponentOpponentSaves_rolling_15,teamCorsi_last,opponentCorsi_last,teamCorsi_rolling_5,opponentCorsi_rolling_5,teamCorsi_rolling_3,opponentCorsi_rolling_3,teamCorsi_rolling_10,opponentCorsi_rolling_10,teamCorsi_rolling_15,opponentCorsi_rolling_15,opponentTeamCorsi_last,opponentOpponentCorsi_last,opponentTeamCorsi_rolling_5,opponentOpponentCorsi_rolling_5,opponentTeamCorsi_rolling_3,opponentOpponentCorsi_rolling_3,opponentTeamCorsi_rolling_10,opponentOpponentCorsi_rolling_10,opponentTeamCorsi_rolling_15,opponentOpponentCorsi_rolling_15,teamFenwick_last,opponentFenwick_last,teamFenwick_rolling_5,opponentFenwick_rolling_5,teamFenwick_rolling_3,opponentFenwick_rolling_3,teamFenwick_rolling_10,opponentFenwick_rolling_10,teamFenwick_rolling_15,opponentFenwick_rolling_15,opponentTeamFenwick_last,opponentOpponentFenwick_last,opponentTeamFenwick_rolling_5,opponentOpponentFenwick_rolling_5,opponentTeamFenwick_rolling_3,opponentOpponentFenwick_rolling_3,opponentTeamFenwick_rolling_10,opponentOpponentFenwick_rolling_10,opponentTeamFenwick_rolling_15,opponentOpponentFenwick_rolling_15,backToBack,teamSaves,opponentSaves,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst,splitGame
2024020010,2024-10-09,False,VGK,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,13,28,52,45,42,27,False
2024020010,2024-10-09,True,COL,VGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28,13,45,52,27,42,False
2024020011,2024-10-10,True,MTL,BOS,29.0,24.0,,,,,,,,,48.0,26.0,,,,,,,,,66.0,62.0,,,,,,,,,58.0,94.0,,,,,,,,,44.0,54.0,,,,,,,,,32.0,77.0,,,,,,,,,False,20,23,61,59,41,43,False
2024020011,2024-10-10,False,BOS,MTL,48.0,26.0,,,,,,,,,29.0,24.0,,,,,,,,,58.0,94.0,,,,,,,,,66.0,62.0,,,,,,,,,32.0,77.0,,,,,,,,,44.0,54.0,,,,,,,,,True,23,20,59,61,43,41,False
2024020012,2024-10-10,True,LAK,BUF,34.0,17.0,,,,,,,,,,,,,,,,,,,56.0,75.0,,,,,,,,,,,,,,,,,,,42.0,51.0,,,,,,,,,,,,,,,,,,,False,20,32,72,52,53,32,False
2024020012,2024-10-10,False,BUF,LAK,,,,,,,,,,,34.0,17.0,,,,,,,,,,,,,,,,,,,56.0,75.0,,,,,,,,,,,,,,,,,,,42.0,51.0,,,,,,,,,False,32,20,52,73,32,54,False
2024020013,2024-10-10,False,OTT,FLA,24.0,29.0,,,,,,,,,,,,,,,,,,,62.0,66.0,,,,,,,,,,,,,,,,,,,54.0,44.0,,,,,,,,,,,,,,,,,,,False,28,31,64,70,52,40,False
2024020013,2024-10-10,True,FLA,OTT,,,,,,,,,,,24.0,29.0,,,,,,,,,,,,,,,,,,,62.0,66.0,,,,,,,,,,,,,,,,,,,54.0,44.0,,,,,,,,,False,31,28,70,64,40,52,False
2024020014,2024-10-10,True,PIT,DET,,,,,,,,,,,34.0,31.0,,,,,,,,,,,,,,,,,,,62.0,79.0,,,,,,,,,,,,,,,,,,,51.0,58.0,,,,,,,,,False,22,29,57,57,43,41,True
2024020014,2024-10-10,False,DET,PIT,34.0,31.0,,,,,,,,,,,,,,,,,,,62.0,79.0,,,,,,,,,,,,,,,,,,,51.0,58.0,,,,,,,,,,,,,,,,,,,True,29,22,57,57,41,43,False
2024020015,2024-10-10,True,TOR,NJD,17.0,34.0,,,,,,,,,26.0,48.0,,,,,,,,,75.0,56.0,,,,,,,,,94.0,58.0,,,,,,,,,51.0,42.0,,,,,,,,,77.0,32.0,,,,,,,,,False,18,21,58,59,43,30,False
2024020015,2024-10-10,False,NJD,TOR,26.0,48.0,,,,,,,,,17.0,34.0,,,,,,,,,94.0,58.0,,,,,,,,,75.0,56.0,,,,,,,,,77.0,32.0,,,,,,,,,51.0,42.0,,,,,,,,,True,21,18,59,58,30,43,False
2024020016,2024-10-10,True,UTA,NYI,,,,,,,,,,,24.0,22.0,,,,,,,,,,,,,,,,,,,74.0,56.0,,,,,,,,,,,,,,,,,,,46.0,44.0,,,,,,,,,False,21,23,64,58,41,38,False
2024020016,2024-10-10,False,NYI,UTA,24.0,22.0,,,,,,,,,,,,,,,,,,,74.0,56.0,,,,,,,,,,,,,,,,,,,46.0,44.0,,,,,,,,,,,,,,,,,,,False,23,21,58,64,38,41,False
2024020017,2024-10-10,False,NSH,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33,16,44,74,29,57,False
2024020017,2024-10-10,True,DAL,NSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16,33,74,44,57,29,False
2024020018,2024-10-10,False,MIN,CBJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23,31,56,53,46,35,False
2024020018,2024-10-10,True,CBJ,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31,23,53,56,35,46,False
2024020019,2024-10-10,True,STL,SJS,,,,,,,,,,,30.0,22.0,,,,,,,,,,,,,,,,,,,60.0,68.0,,,,,,,,,,,,,,,,,,,41.0,50.0,,,,,,,,,False,35,25,58,69,35,53,False
2024020019,2024-10-10,False,SJS,STL,30.0,22.0,,,,,,,,,,,,,,,,,,,60.0,68.0,,,,,,,,,,,,,,,,,,,41.0,50.0,,,,,,,,,,,,,,,,,,,False,25,35,69,58,53,35,False
2024020020,2024-10-11,True,TBL,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,53,52,41,31,False
2024020020,2024-10-11,False,CAR,TBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20,19,52,53,31,41,False
2024020021,2024-10-11,False,WPG,CHI,22.0,24.0,,,,,,,,,30.0,14.0,,,,,,,,,56.0,74.0,,,,,,,,,61.0,56.0,,,,,,,,,44.0,46.0,,,,,,,,,31.0,48.0,,,,,,,,,False,33,25,64,64,46,51,False
2024020021,2024-10-11,True,CHI,WPG,30.0,14.0,,,,,,,,,22.0,24.0,,,,,,,,,61.0,56.0,,,,,,,,,56.0,74.0,,,,,,,,,31.0,48.0,,,,,,,,,44.0,46.0,,,,,,,,,False,25,33,64,64,51,46,False
2024020022,2024-10-11,False,VAN,PHI,,,,,,,,,,,20.0,19.0,,,,,,,,,,,,,,,,,,,49.0,66.0,,,,,,,,,,,,,,,,,,,36.0,43.0,,,,,,,,,False,24,29,59,67,39,51,False
2024020022,2024-10-11,True,PHI,VAN,20.0,19.0,,,,,,,,,,,,,,,,,,,49.0,66.0,,,,,,,,,,,,,,,,,,,36.0,43.0,,,,,,,,,,,,,,,,,,,False,29,24,62,64,46,44,False
2024020023,2024-10-11,False,VGK,STL,25.0,35.0,,,,,,,,,28.0,13.0,,,,,,,,,69.0,58.0,,,,,,,,,45.0,52.0,,,,,,,,,53.0,35.0,,,,,,,,,27.0,42.0,,,,,,,,,True,24,19,46,55,33,38,False
2024020023,2024-10-11,True,STL,VGK,28.0,13.0,,,,,,,,,25.0,35.0,,,,,,,,,45.0,52.0,,,,,,,,,69.0,58.0,,,,,,,,,27.0,42.0,,,,,,,,,53.0,35.0,,,,,,,,,False,19,24,55,46,38,33,False
2024020024,2024-10-12,True,LAK,BOS,20.0,23.0,,,,,,,,,32.0,20.0,,,,,,,,,61.0,59.0,,,,,,,,,52.0,72.0,,,,,,,,,41.0,43.0,,,,,,,,,32.0,53.0,,,,,,,,,False,33,24,56,62,34,44,False
2024020024,2024-10-12,False,BOS,LAK,32.0,20.0,,,,,,,,,20.0,23.0,,,,,,,,,52.0,73.0,,,,,,,,,61.0,59.0,,,,,,,,,32.0,54.0,,,,,,,,,41.0,43.0,,,,,,,,,False,24,33,62,56,44,34,False
